SliceTime, ProcessId, ProcessName, HandleCount, ThreadsCount, WorkingSet, PrivateMemorySize, PagedMemorySize, PeakWorkingSet, CPU %
2018-02-22 17:50:31,0, Idle, 0, 4, 4096, 0, 0, 4096, 381.4063
2018-02-22 17:50:41,0, Idle, 0, 4, 4096, 0, 0, 4096, 371.695
2018-02-22 17:50:51,0, Idle, 0, 4, 4096, 0, 0, 4096, 378.2934
2018-02-22 17:51:01,0, Idle, 0, 4, 4096, 0, 0, 4096, 373.6244
2018-02-22 17:51:11,0, Idle, 0, 4, 4096, 0, 0, 4096, 386.0785
2018-02-22 17:51:21,0, Idle, 0, 4, 4096, 0, 0, 4096, 386.0787
2018-02-22 17:51:31,0, Idle, 0, 4, 4096, 0, 0, 4096, 384.1388
2018-02-22 17:51:41,0, Idle, 0, 4, 4096, 0, 0, 4096, 375.1818
2018-02-22 17:51:51,0, Idle, 0, 4, 4096, 0, 0, 4096, 392.3047
2018-02-22 17:52:01,0, Idle, 0, 4, 4096, 0, 0, 4096, 373.6234
2018-02-22 17:52:11,0, Idle, 0, 4, 4096, 0, 0, 4096, 369.3216
